Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1386492,-,-,-,-0.55,-69.62,-5,83,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2017,1,1,0,0,0,0,0,0,0,0,6,23,156.06,0,0.14,0.4,6.017,280.2,100.0,24,1000.0
2017,1,1,0,30,0,0,0,0,0,0,8,23,153.73,0,0.14,0.2,6.106,280.2,100.0,24,1000.0
2017,1,1,1,0,0,0,0,0,0,0,8,23,149.77,0,0.14,0.0,6.196,178.10000000000002,100.0,24,1000.0
2017,1,1,1,30,0,0,0,0,0,0,8,23,144.74,0,0.14,0.0,6.239,178.10000000000002,100.0,23,1000.0
2017,1,1,2,0,0,0,0,0,0,0,8,23,139.03,0,0.14,0.1,6.283,120.7,100.0,23,1000.0
2017,1,1,2,30,0,0,0,0,0,0,8,23,132.89000000000001,0,0.14,0.1,6.2540000000000004,120.7,100.0,23,1000.0
2017,1,1,3,0,0,0,0,0,0,0,8,23,126.47,0,0.14,0.1,6.2250000000000005,153.1,100.0,23,1000.0
2017,1,1,3,30,0,0,0,0,0,0,8,23,119.86,0,0.14,0.0,6.173,153.1,100.0,23,1000.0
2017,1,1,4,0,0,0,0,0,0,0,8,23,113.13,0,0.14,0.0,6.122,165.60000000000002,100.0,23,1000.0
2017,1,1,4,30,0,0,0,0,0,0,8,22,106.33,0,0.14,0.0,6.064,165.60000000000002,100.0,23,1000.0
2017,1,1,5,0,0,0,0,0,0,0,8,22,99.46000000000001,0,0.14,0.0,6.008,82.5,100.0,23,1000.0
